trade_id,qty,price,side,type,fee_paid,pnl,pside,long_psize,long_pprice,shrt_psize,shrt_pprice,liq_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,available_margin,balance,timestamp,progress,drawdown,balance_starting_balance_ratio,equity_starting_balance_ratio,equity_balance_ratio,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
2238,3.9,1.3157,buy,initial_long_entry,-0.0009236214000000001,0.0,long,3.9,1.3157,0.0,,0.0,1.0,19.998686378600002,-0.0009236214000000001,0.0,0.0,-0.0009236214000000001,18.7158788786,19.9990763786,1612138111355.0,3.69500583681609e-05,1.9501280864965896e-05,0.9999538189300001,0.9999343189300001,0.9999804990994275,0.9999343189300001,0.005899537037037037,0.0,0.0,0.0,0.0
5383,-3.9,1.299,sel,initial_shrt_entry,-0.000911898,0.0,shrt,3.9,1.3157,-3.9,1.299,425.9195401837592,326.83215839267183,19.933034480600003,-0.0018355194,0.0,0.0,-0.0018355194,17.3837019806,19.998164480600003,1612138685446.0,0.00011226304188589649,0.0032674402918124804,0.9999082240300001,0.9966517240300001,0.9967432011041223,0.9966517240300001,0.012544108796296296,0.0,0.15946972222222222,0.0,0.15946972222222222
17406,-3.9,1.3266,sel,long_close,-0.0009312732,0.042509999999999645,long,0.0,1.3157,-3.9,1.299,6.399001684100526,3.8232469164849068,19.931713207400005,0.03974320739999965,0.0,0.042509999999999645,-0.0027667926,18.665188207400004,20.039743207400004,1612143489756.0,0.0004001765556645086,0.0054200057403942245,1.0019871603700001,0.9965856603700003,0.9946092123595622,0.9965856603700003,0.06814954861111111,0.0,0.0,1.3345305555555556,1.3345305555555556
21325,3.9,1.3157,buy,initial_long_entry,-0.0009236214000000001,0.0,long,3.9,1.3157,-3.9,1.299,426.78823901709256,323.62785351570136,19.973689586000003,0.03881958599999965,0.0,0.042509999999999645,-0.003690414,17.424357086,20.038819586000006,1612144898304.0,0.0004940244356028252,0.0032607896362650247,1.0019409793000003,0.9986844793000001,0.9967498085543169,0.9986844793000001,0.0844521875,0.0,0.0,1.7257938888888888,1.7257938888888888
22609,-3.9,1.3266,sel,long_close,-0.0009312732,0.042509999999999645,long,0.0,1.3157,-3.9,1.299,6.409363896824185,3.8310574333490504,19.972368312800008,0.08039831279999929,0.0,0.08501999999999929,-0.0046216872,18.705843312800006,20.080398312800007,1612145304833.0,0.0005247722482695256,0.005408972952434715,1.0040199156400003,0.9986184156400004,0.9946201266370729,0.9986184156400004,0.08915738425925926,0.0,0.0,1.8387186111111111,1.8387186111111111
27795,3.7,1.357,buy,initial_long_entry,-0.0009037620000000001,0.0,long,3.7,1.357,-3.9,1.299,81.94093872475585,59.38834013173842,19.853314550800008,0.07949455079999929,0.0,0.08501999999999929,-0.0055254492,17.331564550800007,20.079494550800007,1612146232855.0,0.0006489608436663386,0.011392556110530434,1.0039747275400004,0.9926657275400004,0.9887357722363093,0.9926657275400004,0.09989837962962964,0.0,0.0,2.0965025,2.0965025
33702,-3.7,1.3682,sel,long_close,-0.0009112212000000002,0.041440000000000365,long,0.0,1.357,-3.9,1.299,6.419463559565684,3.691561470120356,19.849753329600006,0.12002332959999965,0.0,0.12645999999999966,-0.0064366704,18.583228329600004,20.120023329600006,1612148431761.0,0.0007904151500699202,0.013615786328033239,1.0060011664800004,0.9924876664800003,0.9865671129912466,0.9924876664800003,0.12534868055555556,0.0,0.0,2.7073097222222224,2.7073097222222224
33955,3.7,1.3614,buy,initial_long_entry,-0.0009066924000000001,0.0,long,3.7,1.3614,-3.9,1.299,82.03597979315975,59.26296906865478,19.875776637200005,0.11911663719999964,0.0,0.12645999999999966,-0.0073433628,17.349956637200005,20.119116637200005,1612148482587.0,0.0007964737144037793,0.012243043602359598,1.0059558318600001,0.9937888318600002,0.9879050355744712,0.9937888318600002,0.12593694444444445,0.0,0.0,2.7214280555555557,2.7214280555555557
104385,-3.7,1.3727,sel,long_close,-0.0009142182000000001,0.041810000000000326,long,0.0,1.3614,-3.9,1.299,6.429656017484835,3.6832660918383238,19.871802419000005,0.16001241899999996,0.0,0.16826999999999998,-0.008257581,18.605277419000004,20.160012419000005,1612175661873.0,0.0024830535010982526,0.014503465459400577,1.0080006209500003,0.9935901209500002,0.9857038778543423,0.9935901209500002,0.4405120138888889,0.0,0.0,10.271229722222222,10.271229722222222
105287,3.7,1.3677,buy,initial_long_entry,-0.0009108882,0.0,long,3.7,1.3677,-3.9,1.299,82.10387431107507,59.039396205539354,19.891211530800003,0.15910153079999997,0.0,0.16826999999999998,-0.0091684692,17.3595640308,20.159101530800005,1612175779177.0,0.0025046536000276633,0.013467756832468165,1.0079550765400003,0.9945605765400002,0.9867112133152013,0.9945605765400002,0.4418696990740741,0.0,0.0,10.303814166666667,10.303814166666667
